FILE NAME        SIZE   DESCRIPTION
cp113.f14        3584   Yugoslavian code page at height 14
cp437.f14        3584   United States code page at height 14  
cp850.f14        3584   Multilingual code page at height 14   
cp851.f14        3584   Greek code page at height 14
cp852.f14        3584   Cyrillic code page at height 14     
cp853.f14        3584   Turkish/LATIN II code page at height 14
cp860.f14        3584   Portuguese code page at height 14    
cp861.f14        3584   Icelandic code page at height 14
cp862.f14        3584   Hebrew code page at height 14      
cp863.f14        3584   Canadian-French code page at height 14 
cp864.f14        3584   Arabic code page (DOS 5) at height  
cp865.f14        3584   Nordic code page at height 14      
cp866.f14        3584   Rimrock Software: Cyrillic code page
cp880.f14        3584   Cyrillic 8859-5 code page at height 14 
cp881.f14        3584   Latin #1 code page at height 14     
cp882.f14        3584   Latin #2 code page at height 14     
cp883.f14        3584   Latin #3 code page at height 14     
cp884.f14        3584   Latin #4 code page at height 14     
cp885.f14        3584   Latin #5 code page at height 14     
cyril2.f14       3584   Based on draft of ISO 8859 standard
cyrill1.f14      3584   Variations on Cyrillic font (1/3)    
cyrill2.f14      3584   Variations on Cyrillic font (2/3)    
cyrill3.f14      3584   Variations on Cyrillic font (3/3)    
cyrillic.f14     3584   Cyrillic characters lin lower ascii 
draw.f14         3584   ANSI ESC (0 Ruling Char Set / Latin-1
drawhi.f14       3584   ANSI ESC )3 Supplementary Char Set.
finnish.f14      3584   Font useful for finnish
fractur.f14      3584   Lothar Bongartz: Fractur style Eng Chars
future.f14       3584   Hercules+ font: Stylistic future chars
gaelic.f14       3584   Lothar Bongartz: Gaelic style Eng. chars
georgian.f14     3584   Lothar Bongartz: Georgian language font
grckssrf.f14     3584   Greek sanserif, with curved double lines
greek.f14        3584   Modern Greek ANSI font at height 14   
greek2.f14       3584   Based on draft of ISO 8859 standard
handwrit.f14     3584   Hand writing like font at height 14   
heb-big.f14      3584   Hebrew Big chars font (I. Even Zohar)
heb-ktab.f14     3584   Hebrew Hand-writing (I. Even Zohar)
heb-med.f14      3584   Hebrew Mid-sized font (I. Even Zohar)
heb-snsf.f14     3584   Hebrew Sanserif font (I. Even Zohar)
hebclrgf.f14     3584   Calligraphic Hebrew font. Heb at 224:255
heblarge.f14     3584   Hebrew large bold font at height 14   
hercules.f14     3584   Hercules+ Card font: plain chars hgt 14
hollow.f14       3584   Hercules+ font: Like Macintosh outline
hrkgreek.f14     3584   Hercules+ font: Greek chars in [a-zA-Z]
hylas.f14        3584   Thin characters
icons.f14        3584   Rimrock Software: GUI font. 2chars=>icon
inverted.f14     3584   Rimrock Software: Up-side-down font
iso.f14          3584   Based on draft of ISO 8859 standard
iso2.f14         3584   Based on draft of ISO 8859 standard
iso3.f14         3584   Based on draft of ISO 8859 standard
iso4.f14         3584   Based on draft of ISO 8859 standard
italics.f14      3584   Rimrock Software: Italic characters font
kana.f14         3584   Roman/japanese katakana fnt (from X11R5)
lbarabic.f14     3584   Lothar Bongartz: Fancy arabic chars
lbitalic.f14     3584   Lothar Bongartz's italics (European inc)
lbscript.f14     3584   L. Bongartz script. Small. European inc.
lb_misc.f14      3584   Bongartz: Misc: Greek/Cyrill/ram
lb_ocr.f14       3584   Lothar Bongartz: OCR (?) like font
lcd.f14          3584   Hercules+ font: Like calculator lcd disp
macntosh.f14     3584   Apple's Macintosh style font height 14 
medieval.f14     3584   Hercules+ font: Medieval != old english!
norway.f14       3584   Nordic font.
norway2.f14      3584   Another nordic font
old-engl.f14     3584   Old English font at height 14      
oldeng.f14       3584   L. Bongartz: Old English fancy chars
